field,topic,system,status,original_survey_title,best_ref_title,manual_same_paper,manual_notes
Sociology,Residential Property Investor Types in Sociology,LLMxMapReduce_V2,confirmed,One and the Same? A Systematic Literature Review of Residential Property Investor Types,one and the same? a systematic literature review of residential property investor types,1,
Sociology,Longitudinal Social Research in Sociology,Gemini,confirmed,Tracking US Social Change Over a Half-Century- The General Social Survey at Fifty,Tracking US Social Change Over a Half-Century: The General Social Survey at Fifty,1,
Sociology,Community Detection in Multilayer Networks in Sociology,Gemini,confirmed,A survey of community detection methods in multilayer networks,A survey of community detection methods in multilayer networks,1,
Sociology,Xenophobia towards Asylum Seekers in Sociology,Gemini,confirmed,Xenophobia towards asylum seekers- A survey of social theories,Xenophobia towards asylum seekers: A survey of social theories,1,
Sociology,Xenophobia towards Asylum Seekers in Sociology,Qwen,candidate,Xenophobia towards asylum seekers- A survey of social theories,xenophobia towards asylum seekers: a survey of social,0,
Sociology,Innovation Adoption in Agricultural Communities,Gemini,confirmed,Understanding the Adoption of Innovations in Agriculture- A Review of Selected Conceptual Models,Understanding the adoption of innovations in agriculture: A review of selected conceptual models,1,
Sociology,Digital Interviews in Qualitative Research in Sociology,Gemini,confirmed,Pioneering the use of technologies in qualitative research �?A research review of the use of digital interviews,Pioneering the use of technologies in qualitative research �?A research review of the use of digital interviews,1,
Sociology,Qualitative Research and Focus Group Discussion in Sociology,Gemini,confirmed,An Overview of Qualitative Research and Focus Group Discussion,An Overview of Qualitative Research and Focus Group Discussion,1,
Sociology,Intersectionality and Coalitions in Social Movement Research,Gemini,confirmed,Intersectionality and coalitions in social movement research—A survey and outlook,Intersectionality and coalitions in social movement research—A survey and outlook,1,
Sociology,Intersectionality and Coalitions in Social Movement Research,LLMxMapReduce_V2,candidate,Intersectionality and coalitions in social movement research—A survey and outlook,intersectionality and coalitions in social movement research,0,
Sociology,Intersectionality and Coalitions in Social Movement Research,Qwen,candidate,Intersectionality and coalitions in social movement research—A survey and outlook,intersectionality and coalitions in social movement research,0,
Sociology,Freebirthing as a Historical and Social Phenomenon in Sociology,Gemini,confirmed,Exploring the conceptualisation and study of freebirthing as a historical and social phenomenon- a meta-narrative review of diverse research traditions,Exploring the conceptualisation and study of freebirthing as a historical and social phenomenon: a meta-narrative review of diverse research traditions,1,
Sociology,Freebirthing as a Historical and Social Phenomenon in Sociology,SciSage,confirmed,Exploring the conceptualisation and study of freebirthing as a historical and social phenomenon- a meta-narrative review of diverse research traditions,exploring the conceptualisation and study of freebirthing as a historical and social phenomenon: a meta-narrative review of diverse research traditions,1,
Physics,Scalar Induced Gravitational Waves in Physics,Gemini,confirmed,Scalar Induced Gravitational Waves Review,Scalar Induced Gravitational Waves Review,1,
Physics,Scalar Induced Gravitational Waves in Physics,LLMxMapReduce_V2,candidate,Scalar Induced Gravitational Waves Review,scalar-induced gravitational waves,0,
Physics,Scalar Induced Gravitational Waves in Physics,Qwen,confirmed,Scalar Induced Gravitational Waves Review,scalar induced gravitational waves review,1,
Physics,Non-Hermitian Topological Phenomena in Physics,Gemini,confirmed,Non-Hermitian Topological Phenomena- A Review,Non-Hermitian Topological Phenomena: A Review,1,
Physics,Non-Hermitian Topological Phenomena in Physics,LLMxMapReduce_V2,candidate,Non-Hermitian Topological Phenomena- A Review,non-hermitian topological phenomena in physics,0,
Physics,Non-Hermitian Topological Phenomena in Physics,SurveyX,confirmed,Non-Hermitian Topological Phenomena- A Review,Non-hermitian topological phenomena: A review,1,
Physics,Cosmological Tensions and Anomalies in Particle Physics and Cosmology,LLMxMapReduce_V2,confirmed,"Cosmology Intertwined- A Review of the Particle Physics, Astrophysics, and Cosmology Associated with the Cosmological Tensions and Anomalies","Cosmology Intertwined: A Review of the Particle Physics, Astrophysics, and Cosmology Associated with the Cosmological Tensions and Anomalies https://arxiv.org/abs/2203.06142",1,
Physics,Cosmological Tensions and Anomalies in Particle Physics and Cosmology,SciSage,candidate,"Cosmology Intertwined- A Review of the Particle Physics, Astrophysics, and Cosmology Associated with the Cosmological Tensions and Anomalies","Cosmology intertwined: A review of the particle physics, astrophysics, and cosmology associated with the cosmological tensions and anomalies. Élcio Abdalla, Guillermo Franco Abellán, Amin Aboubrahim, Adriano Agnello",1,
Physics,Cosmological Tensions and Anomalies in Particle Physics and Cosmology,gemini-3-pro-preview,confirmed,"Cosmology Intertwined- A Review of the Particle Physics, Astrophysics, and Cosmology Associated with the Cosmological Tensions and Anomalies","Cosmology intertwined: A review of the particle physics, astrophysics, and cosmology associated with the cosmological tensions and anomalies",1,
Physics,Hubble Tension in Cosmology,SciSage,candidate,In the realm of the Hubble tension—a review of solutions,in the realm of the hubble tension—a review of solutions <sup>*</sup>,1,
Physics,Hubble Tension in Cosmology,gemini-3-pro-preview,confirmed,In the realm of the Hubble tension—a review of solutions,In the realm of the Hubble tension—a review of solutions,1,
Physics,Heavy-Heavy Hadronic Molecules in Physics,Gemini,confirmed,A survey of heavy–heavy hadronic molecules,A survey of heavy–heavy hadronic molecules,1,
Physics,Heavy-Heavy Hadronic Molecules in Physics,LLMxMapReduce_V2,confirmed,A survey of heavy–heavy hadronic molecules,a survey of heavy–heavy hadronic molecules,1,
Physics,Heavy-Heavy Hadronic Molecules in Physics,SciSage,confirmed,A survey of heavy–heavy hadronic molecules,a survey of heavy–heavy hadronic molecules,1,
Physics,Physics-informed Neural Networks for Fluid Mechanics,Autosurvey,confirmed,Physics-informed neural networks (PINNs) for fluid mechanics- a review,physics-informed neural networks (pinns) for fluid mechanics a review,1,
Physics,Physics-informed Neural Networks for Fluid Mechanics,Gemini,confirmed,Physics-informed neural networks (PINNs) for fluid mechanics- a review,Physics-informed neural networks (PINNs) for fluid mechanics: A review,1,
Physics,Physics-informed Neural Networks for Fluid Mechanics,LLMxMapReduce_V2,candidate,Physics-informed neural networks (PINNs) for fluid mechanics- a review,physics-informed neural networks for fluid mechanics,0,
Physics,Computational Methods for the Hubbard Model in Physics,Gemini,confirmed,The Hubbard model- A computational perspective,The Hubbard Model: A Computational Perspective,1,
Physics,Computational Methods for the Hubbard Model in Physics,Qwen,confirmed,The Hubbard model- A computational perspective,(pdf) the hubbard model: a computational perspective,1,
Physics,Quantum Many-Body Scars and Hilbert Space Fragmentation in Physics,Gemini,confirmed,Quantum many-body scars and Hilbert space fragmentation- a review of exact results,Quantum many-body scars and Hilbert space fragmentation: a review of exact results,1,
Physics,Quantum Many-Body Scars and Hilbert Space Fragmentation in Physics,Qwen,candidate,Quantum many-body scars and Hilbert space fragmentation- a review of exact results,quantum many-body scars and hilbert space fragmentation,0,
Physics,Quantum Many-Body Scars and Hilbert Space Fragmentation in Physics,SciSage,confirmed,Quantum many-body scars and Hilbert space fragmentation- a review of exact results,quantum many-body scars and hilbert space fragmentation: a review of exact results,1,
Physics,Dipolar Physics with Magnetic Quantum Gases,Gemini,confirmed,Dipolar physics- a review of experiments with magnetic quantum gases,Dipolar physics: a review of experiments with magnetic quantum gases,1,
Physics,Non-Hermitian Skin Effect in Physics,Gemini,confirmed,A review on non-Hermitian skin effect,A review on non-Hermitian skin effect,1,
Physics,Non-Hermitian Skin Effect in Physics,Qwen,confirmed,A review on non-Hermitian skin effect,a review on non-hermitian skin effect,1,
Psychology,Psychology of Sustainability and Quality of Life During Pandemics,Gemini,confirmed,"Getting Through COVID-19 The Pandemic’s Impact on the Psychology of Sustainability, Quality of Life, and the Global Economy �?A Systematic Review","Getting Through COVID-19: The Pandemic’s Impact on the Psychology of Sustainability, Quality of Life, and the Global Economy �?A Systematic Review",1,
Psychology,Multicomponent Positive Psychology Interventions in Adolescent Well-being and Distress,Gemini,confirmed,Effects of School-based Multicomponent Positive Psychology Interventions on Well-being and Distress in Adolescents- A Systematic Review and Meta-analysis,Effects of School-based Multicomponent Positive Psychology Interventions on Well-being and Distress in Adolescents: A Systematic Review and Meta-analysis,1,
Psychology,Multi-component Positive Psychology Interventions in Psychology,Gemini,confirmed,The Efficacy of Multi-component Positive Psychology Interventions- A Systematic Review and Meta-analysis of Randomized Controlled Trials,The Efficacy of Multi-component Positive Psychology Interventions: A Systematic Review and Meta-analysis of Randomized Controlled Trials,1,
Psychology,Multi-component Positive Psychology Interventions in Psychology,LLMxMapReduce_V2,confirmed,The Efficacy of Multi-component Positive Psychology Interventions- A Systematic Review and Meta-analysis of Randomized Controlled Trials,the efficacy of multi-component positive psychology interventions: a systematic review and meta-analysis of randomized controlled trials,1,
Psychology,Subjective Well-Being in Psychology,Gemini,confirmed,Understanding subjective well-being- perspectives from psychology and public health,Understanding subjective well-being: perspectives from psychology and public health,1,
Psychology,Heart Rate Variability Analysis in Psychology,Gemini,confirmed,Heart Rate Variability in Psychology- A Review of HRV Indices and an Analysis Tutorial,Heart Rate Variability in Psychology: A Review of HRV Indices and an Analysis Tutorial,1,
Psychology,Esports Psychology,Gemini,confirmed,Setting the scientific stage for esports psychology- a systematic review,Setting the scientific stage for esports psychology: a systematic review,1,
Psychology,Psychobiological Processes of Stress and Health in Psychology,Gemini,confirmed,Stress and Health- A Review of Psychobiological Processes.,Stress and Health: A Review of Psychobiological Processes,1,
Psychology,Ecological Momentary Assessment in Child Psychology and Psychiatry,Gemini,confirmed,Annual Research Review- Ecological momentary assessment studies in child psychology and psychiatry.,Annual Research Review: Ecological momentary assessment studies in child psychology and psychiatry,1,
Psychology,Ecological Momentary Assessment in Child Psychology and Psychiatry,LLMxMapReduce_V2,candidate,Annual Research Review- Ecological momentary assessment studies in child psychology and psychiatry.,ecological momentary assessment in child psychology and psychiatry,0,
Psychology,Artificial Intelligence in Psychological Research,Gemini,confirmed,"AI in marketing, consumer research and psychology- A systematic literature review and research agenda","AI in marketing, consumer research and psychology: A systematic literature review and research agenda",1,
Psychology,Goal-Setting Theory in Physical Activity Promotion Psychology,Gemini,confirmed,Updating goal-setting theory in physical activity promotion- a critical conceptual review,Updating goal-setting theory in physical activity promotion: a critical conceptual review,1,
Psychology,Goal-Setting Theory in Physical Activity Promotion Psychology,LLMxMapReduce_V2,confirmed,Updating goal-setting theory in physical activity promotion- a critical conceptual review,updating goal-setting theory in physical activity promotion: a critical conceptual review,1,
Psychology,Goal-Setting Theory in Physical Activity Promotion Psychology,Qwen,candidate,Updating goal-setting theory in physical activity promotion- a critical conceptual review,updating goal-setting theory in physical activity promotion,0,
Engineering,Tribology in Engineering,SciSage,confirmed,A review of recent advances in tribology,a review of recent advances in tribology,1,
Engineering,Distributed Optical Fiber Sensors for Structural Health Monitoring in Civil Engineering,Gemini,confirmed,A Review of Recent Distributed Optical Fiber Sensors Applications for Civil Engineering Structural Health Monitoring,A Review of Recent Distributed Optical Fiber Sensors Applications for Civil Engineering Structural Health Monitoring,1,
Engineering,Distributed Optical Fiber Sensors for Structural Health Monitoring in Civil Engineering,LLMxMapReduce_V2,candidate,A Review of Recent Distributed Optical Fiber Sensors Applications for Civil Engineering Structural Health Monitoring,distributed optical fiber sensors for structural health monitoring in civil engineering,0,
Engineering,Distributed Optical Fiber Sensors for Structural Health Monitoring in Civil Engineering,SciSage,confirmed,A Review of Recent Distributed Optical Fiber Sensors Applications for Civil Engineering Structural Health Monitoring,a review of recent distributed optical fiber sensors applications for civil engineering structural health monitoring,1,
Engineering,CAR-T Cell Engineering,Gemini,confirmed,Recent advances in CAR-T cell engineering,Recent advances in CAR-T cell engineering,1,
Engineering,Upper Limb Exoskeleton Design,Gemini,candidate,A Review on Design of Upper Limb Exoskeleton,Review on design of upper limb exoskeletons,1,
Engineering,Upper Limb Exoskeleton Design,LLMxMapReduce_V2,candidate,A Review on Design of Upper Limb Exoskeleton,a review on design of upper limb exoskeletons,1,
Engineering,Upper Limb Exoskeleton Design,Qwen,candidate,A Review on Design of Upper Limb Exoskeleton,a review on design of upper limb exoskeletons,1,
Engineering,Upper Limb Exoskeleton Design,SciSage,candidate,A Review on Design of Upper Limb Exoskeleton,a review on design of upper limb exoskeletons,1,
Engineering,Machine Learning in Earthquake Engineering,Gemini,confirmed,The promise of implementing machine learning in earthquake engineering- A state-of-the-art review,The promise of implementing machine learning in earthquake engineering: A state-of-the-art review,1,
Engineering,Model Predictive Control in Engineering,Gemini,confirmed,Review on model predictive control- an engineering perspective,Review on Model Predictive Control: An Engineering Perspective,1,
Engineering,Model Predictive Control in Engineering,Qwen,confirmed,Review on model predictive control- an engineering perspective,review on model predictive control: an engineering perspective,1,
Engineering,Chitosan-based Bioactive Materials in Tissue Engineering,Gemini,candidate,Chitosan based bioactive materials in tissue engineering applications-A review,Chitosan-based bioactive materials in tissue engineering,0,
Engineering,Chitosan-based Bioactive Materials in Tissue Engineering,LLMxMapReduce_V2,confirmed,Chitosan based bioactive materials in tissue engineering applications-A review,chitosan based bioactive materials in tissue engineering applications-a review,1,
Engineering,Chitosan-based Bioactive Materials in Tissue Engineering,Qwen,candidate,Chitosan based bioactive materials in tissue engineering applications-A review,chitin-based materials in tissue engineering: applications,0,
Engineering,Polydimethylsiloxane (PDMS) in Biomedical Engineering,Gemini,confirmed,Properties and Applications of PDMS for Biomedical Engineering- A Review,Properties and Applications of PDMS for Biomedical Engineering: A Review,1,
Engineering,Polydimethylsiloxane (PDMS) in Biomedical Engineering,LLMxMapReduce_V2,confirmed,Properties and Applications of PDMS for Biomedical Engineering- A Review,properties and applications of pdms for biomedical engineering: a review,1,
Engineering,Polydimethylsiloxane (PDMS) in Biomedical Engineering,Qwen,candidate,Properties and Applications of PDMS for Biomedical Engineering- A Review,properties and applications of pdms for biomedical,0,
Engineering,Polydimethylsiloxane (PDMS) in Biomedical Engineering,SciSage,confirmed,Properties and Applications of PDMS for Biomedical Engineering- A Review,properties and applications of pdms for biomedical engineering: a review,1,
Engineering,Fiber Bragg Grating Sensors for Physical Parameter Monitoring in Engineering,Gemini,confirmed,Fiber Bragg grating sensors for monitoring of physical parameters  a comprehensive review,Fiber Bragg grating sensors for monitoring of physical parameters: a comprehensive review,1,
Engineering,Fiber Bragg Grating Sensors for Physical Parameter Monitoring in Engineering,SciSage,confirmed,Fiber Bragg grating sensors for monitoring of physical parameters  a comprehensive review,fiber bragg grating sensors for monitoring of physical parameters: a comprehensive review,1,
Environmental Science,Cyanobacteria in Environmental Science,Gemini,candidate,Cyanobacteria- Review of Current Potentials and Applications,Cyanobacteria biotechnology current potentials and applications review,0,
Environmental Science,Sonochemistry in Environmental Science,Gemini,confirmed,A Review on Sonochemistry and Its Environmental Applications,A Review on Sonochemistry and Its Environmental Applications,1,
Environmental Science,Nanotechnology in Environmental Science,Gemini,confirmed,Benefits and Application of Nanotechnology in Environmental Science- an Overview,Benefits and Application of Nanotechnology in Environmental Science: an Overview.,1,
Environmental Science,Quantitative Evidence Synthesis in Environmental Science,Gemini,confirmed,"Quantitative evidence synthesis- a practical guide on meta-analysis, meta-regression, and publication bias tests for environmental sciences","Quantitative evidence synthesis: a practical guide on meta-analysis, meta-regression, and publication bias tests for environmental sciences",1,
Environmental Science,Quantitative Evidence Synthesis in Environmental Science,LLMxMapReduce_V2,candidate,"Quantitative evidence synthesis- a practical guide on meta-analysis, meta-regression, and publication bias tests for environmental sciences","Quantitative evidence synthesis: a practical guide on meta-analysis, meta-regression, and publication bias tests for environmental sciences https://pmc.ncbi.nlm.nih.gov/articles/PMC11378872/",1,
Environmental Science,Marine Transportation Environmental Impacts and Mitigation Strategies in Environmental Science,Gemini,confirmed,Boating- and Shipping-Related Environmental Impacts and Example Management Measures- A Review,Boating- and Shipping-Related Environmental Impacts and Example Management Measures: A Review,1,
Environmental Science,Hydrothermal Liquefaction of Biomass for Biorefinery Applications in Environmental Science,LLMxMapReduce_V2,confirmed,A review on key design and operational parameters to optimize and develop hydrothermal liquefaction of biomass for biorefinery applications,a review on key design and operational parameters to optimize and develop hydrothermal liquefaction of biomass for biorefinery applications,1,
Environmental Science,Lake Restoration in Environmental Science,Gemini,confirmed,Preface- Restoration of eutrophic lakes- current practices and future challenges,Preface: Restoration of eutrophic lakes: current practices and future challenges,1,
Environmental Science,Thermal Destruction of Per- and Polyfluoroalkyl Substances in Water Resource Recovery Facilities,LLMxMapReduce_V2,candidate,Per�?and polyfluoroalkyl substances thermal destruction at water resource recovery facilities- A state of the science review,thermal destruction of per- and polyfluoroalkyl substances in water resource recovery facilities,0,
Environmental Science,Groundwater Sustainability: Interactions Between Science and Policy in Environmental Science,Gemini,confirmed,Groundwater sustainability- a review of the interactions between science and policy,Groundwater sustainability: a review of the interactions between science and policy,1,
Computer Science,Computational Thinking in Education with Scratch,Gemini,confirmed,Computational thinking in programming with Scratch in primary schools- A systematic review,Computational thinking in programming with Scratch in primary schools: A systematic review,1,
Computer Science,Pre-trained Language Models in Biomedical Domain,Autosurvey,confirmed,Pre-trained Language Models in Biomedical Domain- A Systematic Survey,pre-trained language models in biomedical domain a systematic survey,1,
Computer Science,Pre-trained Language Models in Biomedical Domain,Gemini,confirmed,Pre-trained Language Models in Biomedical Domain- A Systematic Survey,Pre-trained Language Models in Biomedical Domain: A Systematic Survey,1,
Computer Science,Pre-trained Language Models in Biomedical Domain,InteractiveSurvey,confirmed,Pre-trained Language Models in Biomedical Domain- A Systematic Survey,pre-trained language models in biomedical domain a systematic survey,1,
Computer Science,Pre-trained Language Models in Biomedical Domain,LLMxMapReduce_V2,confirmed,Pre-trained Language Models in Biomedical Domain- A Systematic Survey,pre-trained language models in biomedical domain: a systematic survey,1,
